,home_team,away_team,home_position,away_position,home_team_avg_goals,away_team_avg_goals,home_team_avg_conceded,away_team_avg_conceded,Over2.5
283,1,22,4,14,2.0,1.0,2.0,1.4,0
284,3,15,16,8,1.2,1.6,2.2,1.4,0
285,2,8,12,15,2.0,0.6,1.6,1.8,1
286,16,21,7,9,2.2,2.0,2.2,1.6,1
287,17,7,17,10,1.0,1.4,1.4,1.6,0
288,18,9,20,13,1.0,2.0,3.0,1.0,1
289,20,13,5,18,2.0,1.6,1.4,2.6,1
290,6,5,6,19,2.2,0.8,2.0,2.6,1
291,12,4,3,11,2.6,1.6,0.8,1.2,1
292,14,0,1,2,1.4,4.6,0.6,0.4,0
293,17,9,17,13,0.8,2.4,1.6,1.2,1
294,16,8,7,15,2.4,0.8,2.4,1.8,0
295,5,22,19,14,1.2,1.0,2.0,1.4,0
296,2,7,12,10,2.0,1.4,1.4,1.2,0
297,21,20,9,5,2.6,2.0,2.0,1.4,0
298,3,4,16,11,1.4,1.6,2.2,1.2,0
299,0,13,2,18,3.4,1.6,0.4,2.2,0
300,14,1,1,4,1.2,2.0,0.4,1.8,1
301,12,18,3,20,2.4,1.0,0.8,3.4,1
302,6,15,6,8,2.2,1.4,1.6,1.4,1
303,7,14,10,1,1.2,1.8,1.2,0.6,1
304,22,21,14,9,0.8,2.0,1.4,1.8,1
305,13,2,18,12,1.2,2.2,2.0,1.2,1
306,9,16,13,7,2.2,2.2,1.6,2.2,0
307,8,5,15,19,0.8,1.4,1.8,1.6,0
308,1,3,4,16,1.4,1.0,2.2,1.4,1
309,4,0,11,2,0.6,2.8,1.2,0.4,1
310,15,12,8,3,1.6,2.2,2.0,0.8,1
311,18,6,20,6,1.2,2.4,3.0,2.0,1
312,20,17,5,17,2.0,1.0,1.2,1.0,1
313,2,15,12,8,2.0,1.8,1.6,2.0,1
314,3,18,16,20,1.2,1.6,1.6,3.2,0
315,16,20,7,5,2.2,2.0,1.4,1.2,1
316,14,13,1,18,2.4,1.4,1.0,2.0,1
317,17,22,17,14,1.2,0.8,1.4,1.8,1
318,5,4,19,11,1.4,0.4,1.4,1.6,0
319,21,9,9,13,1.8,1.6,1.8,1.8,0
320,12,7,3,10,1.8,1.0,1.0,2.0,0
321,0,1,2,4,2.6,1.4,0.2,2.4,0
322,6,8,6,15,2.6,0.8,2.2,1.6,1
323,18,5,20,19,1.6,1.2,2.4,1.2,1
324,13,3,18,16,1.0,1.4,2.2,1.2,1
325,22,0,14,2,1.2,1.4,1.6,0.6,0
326,9,12,13,3,1.8,1.6,1.4,1.2,1
327,1,2,4,12,1.8,2.0,1.6,1.6,1
328,8,17,15,17,0.6,1.6,2.2,1.6,0
329,7,21,10,9,1.0,1.4,1.4,1.8,1
330,0,6,2,6,1.4,3.4,0.4,1.8,1
331,22,2,14,12,0.8,1.4,1.8,1.6,0
332,15,18,8,20,2.0,1.4,1.8,2.8,1
333,8,12,15,3,1.0,2.0,1.8,1.2,0
334,7,16,10,7,1.8,2.4,1.6,1.4,0
335,4,14,11,1,0.6,2.8,1.2,1.0,1
336,1,6,4,6,2.2,2.8,1.6,2.4,1
337,8,3,15,16,1.2,2.2,1.4,1.0,0
338,9,7,13,10,1.4,2.0,2.0,1.4,0
339,16,18,7,20,2.0,1.2,1.2,3.0,1
340,22,13,14,18,0.8,1.0,1.6,3.0,1
341,15,5,8,19,2.4,1.6,2.2,1.2,0
342,21,12,9,3,1.6,1.6,2.6,1.4,1
343,20,0,5,2,1.2,2.4,2.0,0.4,1
344,2,4,12,11,1.2,0.4,1.4,2.0,1
345,17,14,17,1,1.4,3.4,1.8,0.8,0
346,6,20,6,5,2.8,1.6,2.4,2.0,0
